,_id,user_id,group_id,status,role,createdAt,updatedAt,__v
2189,6312c2c4362f8300196414c5,6225fc8ef3f4b700123e35c9,6312c2c4362f8300196414c4,True,OWNER,2022-09-03 02:58:12.582,2022-09-03 02:58:12.582,0
2190,6312c28d362f8300196414c3,6295e423ce99b40019ac796e,6312c26c362f8300196414c1,True,COACH,2022-09-03 02:57:17.904,2022-09-03 02:57:48.227,0
2191,6312c26c362f8300196414c2,6225fc8ef3f4b700123e35c9,6312c26c362f8300196414c1,True,OWNER,2022-09-03 02:56:44.873,2022-09-03 02:56:44.873,0
2192,6312c1cc362f8300196414c0,6295e423ce99b40019ac796e,6312c142362f8300196414bd,True,COACH,2022-09-03 02:54:04.368,2022-09-03 02:55:25.347,0
2193,6312c17e362f8300196414bf,6295e423ce99b40019ac796e,6312c122362f8300196414bb,True,COACH,2022-09-03 02:52:46.469,2022-09-03 02:53:15.003,0
2194,6312c142362f8300196414be,6225fc8ef3f4b700123e35c9,6312c142362f8300196414bd,True,OWNER,2022-09-03 02:51:46.125,2022-09-03 02:51:46.125,0
2195,6312c122362f8300196414bc,6225fc8ef3f4b700123e35c9,6312c122362f8300196414bb,True,OWNER,2022-09-03 02:51:14.897,2022-09-03 02:51:14.897,0
2196,6312c092f9418c0018549b80,6295e423ce99b40019ac796e,6312c06df9418c0018549b7e,True,COACH,2022-09-03 02:48:50.085,2022-09-03 02:53:23.360,0
2197,6312c06df9418c0018549b7f,6225fc8ef3f4b700123e35c9,6312c06df9418c0018549b7e,True,OWNER,2022-09-03 02:48:13.891,2022-09-03 02:48:13.891,0
2198,62ee3971f9418c0018549a78,62ee395df9418c0018549a77,6290a12cce99b40019ac78a2,True,MEMBER,2022-08-06 09:50:41.354,2022-08-06 09:51:23.884,0
2199,62de589cdb99b2001aec8c22,61c0548fbd0873001248b889,62d64d3f091f32001a9d9674,False,MEMBER,2022-07-25 08:47:24.886,2022-07-25 08:47:24.886,0
2200,62db7108db99b2001aec8c10,624d7ae1e1719b001a7c41d8,62d64d3f091f32001a9d9674,False,MEMBER,2022-07-23 03:54:48.778,2022-07-23 03:54:48.778,0
2201,62da4877db99b2001aec8c06,618531b8bd0873001248aa24,62d64d3f091f32001a9d9674,False,MEMBER,2022-07-22 06:49:27.827,2022-07-22 06:49:27.827,0
2202,62da36a7db99b2001aec8c04,61cdd1d2bd0873001248bb24,62d64d3f091f32001a9d9674,False,MEMBER,2022-07-22 05:33:27.814,2022-07-22 05:33:27.814,0
2203,62da3426db99b2001aec8c03,6196f5b4bd0873001248af37,62d64d3f091f32001a9d9674,False,MEMBER,2022-07-22 05:22:46.370,2022-07-22 05:22:46.370,0
2204,62da31e4db99b2001aec8c02,61f52671ba55fa001ac2ff0b,62d64d3f091f32001a9d9674,False,MEMBER,2022-07-22 05:13:08.966,2022-07-22 05:13:08.966,0
2205,62da2f3ddb99b2001aec8c01,62b66644c32d9f001ae36c9f,62d64d3f091f32001a9d9674,False,MEMBER,2022-07-22 05:01:49.806,2022-07-22 05:01:49.806,0
2206,62da2e314bdc790019732f4a,61e399a3bd0873001248c2f2,62d64d3f091f32001a9d9674,False,MEMBER,2022-07-22 04:57:21.212,2022-07-22 04:57:21.212,0
2207,62da2e0cdb99b2001aec8c00,62bd2ad4c32d9f001ae372cf,62d64d3f091f32001a9d9674,False,MEMBER,2022-07-22 04:56:44.109,2022-07-22 04:56:44.109,0
2208,62da2b59db99b2001aec8bff,618537edbd0873001248aa2f,62d64d3f091f32001a9d9674,False,MEMBER,2022-07-22 04:45:13.172,2022-07-22 04:45:13.172,0
2209,62da2adadb99b2001aec8bfe,6185304ebd0873001248aa22,62d64d3f091f32001a9d9674,False,MEMBER,2022-07-22 04:43:06.613,2022-07-22 04:43:06.613,0
2210,62da2986db99b2001aec8bfd,6222d9f9f3f4b700123e34ec,62d64d3f091f32001a9d9674,False,MEMBER,2022-07-22 04:37:26.639,2022-07-22 04:37:26.639,0
2211,62da28f6db99b2001aec8bfa,61fbed03ba55fa001ac304f3,62d64d3f091f32001a9d9674,False,MEMBER,2022-07-22 04:35:02.379,2022-07-22 04:35:02.379,0
2212,62da2113db99b2001aec8bf9,61e95d77bd0873001248c344,62d64d3f091f32001a9d9674,False,MEMBER,2022-07-22 04:01:23.476,2022-07-22 04:01:23.476,0
2213,62da1ff3db99b2001aec8bf8,61add317bd0873001248b552,62d64d3f091f32001a9d9674,False,MEMBER,2022-07-22 03:56:35.590,2022-07-22 03:56:35.590,0
2214,62da1f8212b90b0019534c05,61c1d165bd0873001248b92c,62d64d3f091f32001a9d9674,False,MEMBER,2022-07-22 03:54:42.696,2022-07-22 03:54:42.696,0
2215,62da1f6edb99b2001aec8bf7,61852beebd0873001248aa14,62d64d3f091f32001a9d9674,False,MEMBER,2022-07-22 03:54:22.622,2022-07-22 03:54:22.622,0
2216,62da1f0cdb99b2001aec8bf6,61a5cdc0bd0873001248b2a9,62d64d3f091f32001a9d9674,False,MEMBER,2022-07-22 03:52:44.824,2022-07-22 03:52:44.824,0
2217,62da1ca0db99b2001aec8bf5,6185cdacbd0873001248aa43,62d64d3f091f32001a9d9674,False,MEMBER,2022-07-22 03:42:24.289,2022-07-22 03:42:24.289,0
2218,62da0851db99b2001aec8bf3,618108192f80fc00185341db,62d64d3f091f32001a9d9674,False,MEMBER,2022-07-22 02:15:45.655,2022-07-22 02:15:45.655,0
2219,62d9e961db99b2001aec8bee,62138a50f3f4b700123e313f,62d64d3f091f32001a9d9674,False,MEMBER,2022-07-22 00:03:45.376,2022-07-22 00:03:45.376,0
2220,62d9a3badb99b2001aec8beb,61c06a71bd0873001248b894,62d64d3f091f32001a9d9674,False,MEMBER,2022-07-21 19:06:34.494,2022-07-21 19:06:34.494,0
2221,62d9a350db99b2001aec8bea,6181080d2f80fc00185341d8,62d64d3f091f32001a9d9674,False,MEMBER,2022-07-21 19:04:48.547,2022-07-21 19:04:48.547,0
2222,62d93a3683a9430019f4667d,62bbb52bc32d9f001ae371fb,62d64d3f091f32001a9d9674,False,MEMBER,2022-07-21 11:36:22.571,2022-07-21 11:36:22.571,0
2223,62d939ed83a9430019f4667c,61813fbe2f80fc00185341ff,62d64d3f091f32001a9d9674,False,MEMBER,2022-07-21 11:35:09.929,2022-07-21 11:35:09.929,0
2224,62d939cd183603001a0035ef,618219dc2f80fc001853420a,62d64d3f091f32001a9d9674,False,MEMBER,2022-07-21 11:34:37.870,2022-07-21 11:34:37.870,0
2225,62d939cb183603001a0035ee,61c06683bd0873001248b891,62d64d3f091f32001a9d9674,False,MEMBER,2022-07-21 11:34:35.386,2022-07-21 11:34:35.386,0
2226,62d8fd7d3e12aa00194a5743,61ee4cd283f28c001a7f0ab7,62d64d3f091f32001a9d9674,True,MEMBER,2022-07-21 07:17:17.385,2022-07-21 11:06:54.321,0
2227,62d8debb3e12aa00194a5742,6185254ebd0873001248a9f9,62d64d3f091f32001a9d9674,True,MEMBER,2022-07-21 05:06:03.875,2022-07-21 11:06:57.597,0
2228,62d8de163e12aa00194a5741,618107cf2f80fc00185341cd,62d64d3f091f32001a9d9674,True,MEMBER,2022-07-21 05:03:18.530,2022-07-21 11:07:04.356,0
2229,62d8d0b33e12aa00194a5740,62bc1cfec32d9f001ae37227,62d64d3f091f32001a9d9674,True,MEMBER,2022-07-21 04:06:11.224,2022-07-21 11:07:06.355,0
2230,62d8ce8f3e12aa00194a573f,6176836369c3c30018d8be5d,62d64d3f091f32001a9d9674,True,MEMBER,2022-07-21 03:57:03.292,2022-07-21 11:06:55.749,0
2231,62d8ce0b3e12aa00194a573e,62bc53a9c32d9f001ae3726f,62d64d3f091f32001a9d9674,True,MEMBER,2022-07-21 03:54:51.571,2022-07-21 11:07:01.836,0
2232,62d8cd2f3e12aa00194a573d,6093e64acc61290011835d40,62d64d3f091f32001a9d9674,True,MEMBER,2022-07-21 03:51:11.685,2022-07-21 11:06:59.793,0
2233,62d8ca123e12aa00194a573c,61852a5bbd0873001248aa08,62d64d3f091f32001a9d9674,True,MEMBER,2022-07-21 03:37:54.987,2022-07-21 03:43:56.035,0
2234,62d8c8073e12aa00194a573b,61852a65bd0873001248aa09,62d64d3f091f32001a9d9674,True,MEMBER,2022-07-21 03:29:11.858,2022-07-21 03:44:22.025,0
2235,62d8c7e33e12aa00194a573a,61954168bd0873001248aed0,62d64d3f091f32001a9d9674,True,MEMBER,2022-07-21 03:28:35.686,2022-07-21 03:44:01.461,0
2236,62d8c6d13e12aa00194a5739,61f4965eba55fa001ac2fe0c,62d64d3f091f32001a9d9674,True,MEMBER,2022-07-21 03:24:01.844,2022-07-21 03:43:00.999,0
2237,62d8c5c13e12aa00194a5738,62b67daec32d9f001ae36cb6,62d64d3f091f32001a9d9674,True,MEMBER,2022-07-21 03:19:29.692,2022-07-21 03:43:16.227,0
